Identification,,,Tool Context,,Tool Accessibility and Sustainability,,,,,,Openness,
Title,Tool Name,year,Action,Origin,Repository Link,Hosting Location,Distribution Format,Accessibility/Availability Status,Maintenance Status,Last Observed Activity,License,
"```json
{
    ""title"": ""Breaking the Performance Wall: The Case for Distributed Digital Forensics""
}
```",DDF Toolkit,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Secure Digital Camera""
}
```",Secure Digital Camera,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Data Hiding in Journaling File Systems""
}
```",dwrt,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Design and Implementation of Zeitline: A Forensic Timeline Editor""
}
```",Zeitline,,created,academic_research_DFRWS,https://sourceforge.net/projects/zeitline/,SourceForge,repository platform,accessible,no recent activity,4/17/2013,open-source,
"```json
{
    ""title"": ""Unification of Digital Evidence from Disparate Sources""
}
```",Digital Evidence Bag (DEB),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Unification of Digital Evidence from Disparate Sources""
}
```",Application Wrapper,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Unification of Digital Evidence from Disparate Sources""
}
```",Digital Evidence Bag Viewer,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Unification of Digital Evidence from Disparate Sources""
}
```",Selective Imager,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automatically Creating Realistic Targets for Digital Forensics Investigation""
}
```",FALCON Lab Creation Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automatically Creating Realistic Targets for Digital Forensics Investigation""
}
```",FALCON Lab Execution Environment,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automatically Creating Realistic Targets for Digital Forensics Investigation""
}
```",FALCON Lab Evaluation Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A correlation method for establishing provenance of timestamps in digital evidence""
}
```",pasco2,,created,academic_research_DFRWS,http://www.bschatz.org/2006/pasco2/,project website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""A general strategy for differential forensic analysis""
}
```",bulk_diff.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A general strategy for differential forensic analysis""
}
```",corpus_sync,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A general strategy for differential forensic analysis""
}
```",flowdiff,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A generalized approach to automotive forensics""
}
```",Python framework implementing DoIP and UDS standards,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A likelihood ratio approach for the evaluation of single point device locations""
}
```",Python script for GPS Evaluation,2023,created,academic_research_DFRWS,https://github.com/HSpichig/GPS_Evaluation,Github,repository platform,accessible,no recent activity,3-May-23,open-source,
"```json
{
    ""title"": ""A metrics-based look at disk images: Insights and applications""
}
```",MassDiskProcessor,2025,created,academic_research_DFRWS,https://github.com/lenavoigt/mass-disk-processor,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""A step in a new direction: NVIDIA GPU kernel driver memory forensics""
}
```",NVSYMMAP,2024,created,academic_research_DFRWS,https://github.com/LSUACL/GPU-Forensics/tree/main/NVSYMMAP,Github,repository platform,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""A study of user data integrity during acquisition of Android devices""
}
```",Android Extractor,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A study of user data integrity during acquisition of Android devices""
}
```",CRMI (Custom Recovery Mode Image),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A study on the evolution of kernel data types used in memory forensics and their dependency on compilation options""
}
```",custom tool,,created,academic_research_DFRWS,https://github.com/eurecom-s3/structdiffing,Github,repository platform,accessible,no recent activity," Dec 2, 2024",open-source,
"```json
{
    ""title"": ""A system for the proactive, continuous, and efï¬cient collection of digital forensic evidence""
}
```",PROOFS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""A systematic approach to understanding MACB timestamps on Unix-like systems""
}
```",os_timestamps,2022,created,academic_research_DFRWS,https://github.com/QuoSecGmbH/os_timestamps,Github,repository platform,accessible,recent activity,14-Oct-24,open-source,
"```json
{
    ""title"": ""About the applicability of Apache2 web server memory forensics""
}
```",custom framework,2023,created,academic_research_DFRWS,https://github.com/fkie-cad/apache2-memory-forensics-paper-material,Github,repository platform,accessible,no recent activity,18-Oct-23,open-source,
"```json
{
    ""title"": ""Advanced evidence collection and analysis of web browser activity5""
}
```",WEFA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_interest_handlers,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_timers,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_devfs,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_check_fop,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_vfsevents,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_kevents,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Advancing Mac OS X rootkit detection""
}
```",mac_kernel_classes,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""AFEIC: Advanced forensic Ext4 inode carving""
}
```",Ext4 file recovery module,2017,created,academic_research_DFRWS,https://www1.cs.fau.de/content/ext4-file-recovery,Research-group website,webpage,accessible,no recent activity,unknown,open-source,
"```json
{
    ""title"": ""AFF4-L: A Scalable Open Logical Evidence Container""
}
```",pyAFF4,2019,created,academic_research_DFRWS,https://github.com/aff4/pyaff4,Github,repository platform,accessible,recent activity,2025,open-source,
"```json
{
    ""title"": ""Alt-tech social forensics: Forensic analysis of alternative social networking applications""
}
```",Alternative Social Networking Applications Analysis Tool (ASNAAT),,created,academic_research_DFRWS,https://github.com/unhcfreg/ASNAAT.git,Github,repository platform,accessible,no recent activity,2022,open-source,
"```json
{
    ""title"": ""An Argumentation-Based Reasoner to Assist Digital Investigation and Attribution of Cyber-Attacks""
}
```",Argumentation-Based Reasoner (ABR),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""An automated timeline reconstruction approach for digital forensic investigations""
}
```",Python Digital Forensic Timeline (PyDFT),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""An overall assessment of Mobile Internal Acquisition Tool""
}
```",Mobile Internal Acquisition Tool (MIAT),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Android forensics: Automated data collection and reporting from a mobile device""
}
```",DroidWatch,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Anti-forensics in ext4: On secrecy and usability of timestamp-based data hiding""
}
```",ext4-timestamp-magic,2018,created,academic_research_DFRWS,https://github.com/dasec/ext4-timestamp-magic,Github,repository platform,accessible,no recent activity,2019,open-source,
"```json
{
    ""title"": ""Applying digital stratigraphy to the problem of recycled storage media""
}
```",File System Activity Simulator,,created,academic_research_DFRWS,https://github.com/janineschneider/Digital-Stratigraphy,Github,repository platform,accessible,recent activity,4-Jul-24,open-source,
"```json
{
    ""title"": ""Applying digital stratigraphy to the problem of recycled storage media""
}
```",get_fsub_info.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Applying digital stratigraphy to the problem of recycled storage media""
}
```",check_for_old_data.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Applying digital stratigraphy to the problem of recycled storage media""
}
```",df_digger.py,2024,created,academic_research_DFRWS,https://github.com/janineschneider/Digital-Stratigraphy,Github,repository platform,accessible,recent activity,2024,open-source,
"```json
{
    ""title"": ""Augmenting password recovery with online proï¬ling""
}
```",web crawler,2011,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated computer forensics training in a virtualized environment""
}
```",CYber DEfenSe Trainer (CYDEST),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated computer forensics training in a virtualized environment""
}
```",Virtual Network Builder (VNB),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
