country,AI Forensics,Blockchain Forensics,Database Forensics,Device/IoT Forensics,Digital Forensic Science,File System and Disk Forensics,Forensics Technique,Malware Forensics,Memory Forensics,Multimedia Forensics,Network & Cloud Forensics,Quantum Forensics,Software Forensics
USA,0.8438818565400843,0.42194092827004215,3.375527426160337,13.502109704641349,32.48945147679325,12.658227848101266,3.375527426160337,1.6877637130801686,14.767932489451477,1.2658227848101267,10.970464135021098,0.42194092827004215,4.219409282700422
Germany,2.941176470588235,0.9803921568627451,1.9607843137254901,8.823529411764707,27.450980392156865,13.725490196078432,5.88235294117647,0.9803921568627451,23.52941176470588,4.901960784313726,6.862745098039216,0.0,1.9607843137254901
South Korea,11.11111111111111,2.2222222222222223,4.444444444444445,26.666666666666668,13.333333333333334,11.11111111111111,0.0,0.0,11.11111111111111,2.2222222222222223,11.11111111111111,0.0,6.666666666666667
United Kingdom,5.0,0.0,0.0,20.0,35.0,15.0,12.5,0.0,2.5,2.5,5.0,0.0,2.5
Ireland,12.5,0.0,0.0,21.875,25.0,6.25,6.25,9.375,0.0,0.0,12.5,0.0,6.25
Switzerland,6.666666666666667,0.0,0.0,16.666666666666664,36.666666666666664,3.3333333333333335,10.0,3.3333333333333335,13.333333333333334,0.0,10.0,0.0,0.0
Canada,7.142857142857142,0.0,0.0,14.285714285714285,7.142857142857142,3.571428571428571,0.0,10.714285714285714,7.142857142857142,3.571428571428571,28.57142857142857,0.0,17.857142857142858
Australia,0.0,0.0,0.0,24.0,28.000000000000004,12.0,4.0,4.0,12.0,0.0,16.0,0.0,0.0
Netherlands,0.0,0.0,0.0,18.181818181818183,27.27272727272727,18.181818181818183,13.636363636363635,0.0,13.636363636363635,0.0,4.545454545454546,0.0,4.545454545454546
Norway,0.0,0.0,0.0,36.84210526315789,5.263157894736842,31.57894736842105,5.263157894736842,5.263157894736842,5.263157894736842,0.0,10.526315789473683,0.0,0.0
